id,title,description,availability,condition,price,link,image_link,brand
AUX-001-MINI-COLOR,Auxiliadora mini color,"Auxiliadora, Color, 8cm, Marmolina",in stock,new,10500 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/AUX-001-MINI-COLOR.png,DIMCO PRO
AUX-002-GALLETA-MARFIL,Auxiliadora galleta marfil,"Auxiliadora, Marfil, 8cm, Marmolina",in stock,new,14500 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/AUX-002-GALLETA-MARFIL.png,DIMCO PRO
AUX-005-SILUETA-CUERPO-ENTERO,Auxiliadora silueta cuerpo entero,"Auxiliadora, 16cm, Marmolina",in stock,new,30000 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/AUX-005-SILUETA-CUERPO-ENTERO.jpg,DIMCO PRO
AUX-007-OVALO-1-MARFIL,Auxiliadora ovalo #1 marfil,"Auxiliadora, Marfil, 10cm, Marmolina",in stock,new,20000 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/AUX-007-OVALO-1-MARFIL.png,DIMCO PRO
AUX-008-OVALO-2-MARFIL,Auxiliadora ovalo #2 marfil,"Auxiliadora, Marfil, 13.5cm, Marmolina",in stock,new,24500 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/AUX-008-OVALO-2-MARFIL.png,DIMCO PRO
AUX-010-OVALO-3-COLOR,Auxiliadora ovalo #3 color,"Auxiliadora, Color, 18cm, Marmolina",in stock,new,46000 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/AUX-010-OVALO-3-COLOR.png,DIMCO PRO
AUX-013-PILETA,Auxiliadora pileta,"Auxiliadora, 24cm, Marmolina",in stock,new,88000 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/AUX-013-PILETA.png,DIMCO PRO
AUX-017-MEDIANA-MARFIL,Auxiliadora mediana marfil,"Auxiliadora, Marfil, 20cm, Marmolina",in stock,new,71500 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/AUX-017-MEDIANA-MARFIL.png,DIMCO PRO
AUX-019-MEDIO-CUERPO-MARFIL-RETABLO,Auxiliadora medio cuerpo marfil retablo,"Auxiliadora, Marfil, 25cm, Marmolina",in stock,new,77000 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/AUX-019-MEDIO-CUERPO-MARFIL-RETABLO.jpg,DIMCO PRO
AUX-020-SILUETA-MEDIO-CUERPO-MARFIL,Auxiliadora silueta medio cuerpo marfil,"Auxiliadora, Marfil, 18cm, Marmolina",in stock,new,52800 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/AUX-020-SILUETA-MEDIO-CUERPO-MARFIL.jpg,DIMCO PRO
AUX-022-32CM-MESA-COLOR,Auxiliadora 32cm mesa color,"Auxiliadora, Color, 32cm, Marmolina",in stock,new,126500 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/AUX-022-32CM-MESA-COLOR.png,DIMCO PRO
AUX-023-32CM-MESA-MARFIL,Auxiliadora 32cm mesa marfil,"Auxiliadora, Marfil, 32cm, Marmolina",in stock,new,107800 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/AUX-023-32CM-MESA-MARFIL.png,DIMCO PRO
AUX-024-39CM-PARED-COLOR,Auxiliadora 39cm pared color,"Auxiliadora, Color, 39cm, Marmolina",in stock,new,126500 COP,https://wa.me/message/,https://raw.githubusercontent.com/velezvash-dev/catalogo-dimco-pro-fotos/main/AUX-024-39CM-PARED-COLOR.png,DIMCO PRO
